I2C Interface
Sample, TimeStamp(ms), Temperature(deg C), Pressure(Pa), Humidity(%), Gas resistance(ohm), Gas Index, Status
322, 1405050927, 26.22, 99592.99, 38.22, 41410.55, 0, 0xb0
323, 1405051131, 26.22, 99594.25, 38.21, 41330.32, 0, 0xb0
324, 1405051334, 26.23, 99595.82, 38.22, 41410.55, 0, 0xb0
325, 1405051538, 26.22, 99595.43, 38.21, 41450.78, 0, 0xb0
326, 1405051742, 26.23, 99593.91, 38.21, 41370.39, 0, 0xb0
327, 1405051945, 26.23, 99592.88, 38.21, 41370.39, 0, 0xb0
328, 1405052149, 26.23, 99592.79, 38.21, 41571.94, 0, 0xb0
329, 1405052352, 26.23, 99594.55, 38.21, 41450.78, 0, 0xb0
330, 1405052556, 26.23, 99593.40, 38.20, 41491.09, 0, 0xb0
331, 1405052760, 26.23, 99591.05, 38.21, 41491.09, 0, 0xb0
332, 1405052963, 26.23, 99592.41, 38.22, 41612.48, 0, 0xb0
333, 1405053167, 26.24, 99593.09, 38.20, 41653.11, 0, 0xb0
334, 1405053371, 26.24, 99595.02, 38.22, 41571.94, 0, 0xb0
335, 1405053574, 26.24, 99591.55, 38.21, 41571.94, 0, 0xb0
336, 1405053778, 26.24, 99594.49, 38.21, 41775.46, 0, 0xb0
337, 1405053981, 26.24, 99593.53, 38.22, 41693.81, 0, 0xb0
338, 1405054185, 26.24, 99592.34, 38.21, 41653.11, 0, 0xb0
339, 1405054389, 26.24, 99594.30, 38.20, 41898.53, 0, 0xb0
340, 1405054592, 26.24, 99592.21, 38.20, 42022.32, 0, 0xb0
341, 1405054796, 26.25, 99593.96, 38.21, 42022.32, 0, 0xb0
342, 1405054999, 26.25, 99594.73, 38.20, 41693.81, 0, 0xb0
343, 1405055203, 26.25, 99593.83, 38.18, 42146.86, 0, 0xb0
344, 1405055407, 26.25, 99594.27, 38.17, 42105.26, 0, 0xb0
345, 1405055610, 26.25, 99594.32, 38.15, 41939.71, 0, 0xb0
346, 1405055814, 26.25, 99594.51, 38.15, 42063.75, 0, 0xb0
347, 1405056017, 26.25, 99593.16, 38.12, 42063.75, 0, 0xb0
348, 1405056221, 26.25, 99591.43, 38.12, 42146.86, 0, 0xb0
349, 1405056425, 26.26, 99590.89, 38.12, 42188.53, 0, 0xb0
350, 1405056628, 26.26, 99592.08, 38.10, 42230.29, 0, 0xb0
351, 1405056832, 26.26, 99593.24, 38.09, 42188.53, 0, 0xb0
352, 1405057036, 26.25, 99593.55, 38.08, 42440.32, 0, 0xb0
